id,specialization_id,name,description,sort_order
business_strategy,entrepreneur,"Business Strategy","Strategic planning and market positioning",1
fundraising,entrepreneur,Fundraising,"Raising capital from investors",2
scaling_operations,entrepreneur,"Scaling Operations","Growing teams and processes",3
product_development,entrepreneur,"Product Development","Building products customers love",4
leadership,operator,Leadership,"Leading teams and driving culture",1
execution,operator,Execution,"Getting things done efficiently",2
financial_management,operator,"Financial Management","Managing budgets and cash flow",3
crisis_management,operator,"Crisis Management","Handling emergencies and setbacks",4
deal_evaluation,investor,"Deal Evaluation","Assessing investment opportunities",1
portfolio_management,investor,"Portfolio Management","Managing investment portfolio",2
value_creation,investor,"Value Creation","Helping portfolio companies grow",3
direct_response_copywriting,copywriter,"Direct Response Copywriting","Writing copy that drives immediate action",1
sales_letters,copywriter,"Sales Letters","Long-form persuasive writing",2
persuasion_psychology,copywriter,"Persuasion Psychology","Understanding psychological triggers",3
email_marketing,copywriter,"Email Marketing","Email sequences and newsletters",4
growth_marketing,marketer,"Growth Marketing","Systematic audience and revenue growth",1
positioning,marketer,Positioning,"Market positioning and messaging",2
content_marketing,marketer,"Content Marketing","Creating valuable content",3
paid_advertising,marketer,"Paid Advertising","Running profitable ad campaigns",4
closing,salesperson,Closing,"Converting prospects to customers",1
prospecting,salesperson,Prospecting,"Finding qualified leads",2
objection_handling,salesperson,"Objection Handling","Overcoming buyer resistance",3
relationship_building,salesperson,"Relationship Building","Long-term customer relationships",4
brand_identity,brand_strategist,"Brand Identity","Creating distinctive brand personality",1
brand_storytelling,brand_strategist,"Brand Storytelling","Crafting brand narratives",2
visual_branding,brand_strategist,"Visual Branding","Logo, colors, and design systems",3
programming,software_engineer,Programming,"Writing code in various languages",1
architecture,software_engineer,"System Architecture","Designing scalable systems",2
devops,software_engineer,DevOps,"Deployment and infrastructure",3
debugging,software_engineer,Debugging,"Finding and fixing bugs",4
machine_learning,ai_researcher,"Machine Learning","Building ML models",1
deep_learning,ai_researcher,"Deep Learning","Neural network architectures",2
research_methodology,ai_researcher,"Research Methodology","Scientific research process",3
product_strategy,product_manager,"Product Strategy","Long-term product direction",1
user_research,product_manager,"User Research","Understanding user needs",2
roadmap_planning,product_manager,"Roadmap Planning","Prioritizing features",3
stakeholder_management,product_manager,"Stakeholder Management","Aligning cross-functional teams",4
data_analysis,data_scientist,"Data Analysis","Extracting insights from data",1
statistical_modeling,data_scientist,"Statistical Modeling","Building predictive models",2
data_visualization,data_scientist,"Data Visualization","Communicating insights visually",3
writing_styles,writer,"Writing Styles","Various writing formats",1
content_creation,writer,"Content Creation","Generating ideas and content",2
editing,writer,Editing,"Refining and improving writing",3
public_speaking,speaker,"Public Speaking","Speaking to audiences",1
presentation_design,speaker,"Presentation Design","Creating compelling slides",2
stage_presence,speaker,"Stage Presence","Commanding attention",3
visual_design,designer,"Visual Design","Aesthetic and graphic design",1
ux_design,designer,"UX Design","User experience design",2
ui_design,designer,"UI Design","User interface design",3
video_production,video_producer,"Video Production","Creating video content",1
video_editing,video_producer,"Video Editing","Post-production editing",2
cinematography,video_producer,Cinematography,"Camera work and lighting",3
strategic_thinking,strategist,"Strategic Thinking","Long-term planning and foresight",1
frameworks,strategist,"Strategic Frameworks","Using proven strategy tools",2
scenario_planning,strategist,"Scenario Planning","Planning for multiple futures",3
problem_diagnosis,consultant,"Problem Diagnosis","Identifying root causes",1
recommendation_development,consultant,"Recommendation Development","Creating actionable solutions",2
client_management,consultant,"Client Management","Managing consulting relationships",3
leadership_coaching,coach,"Leadership Coaching","Developing leadership skills",1
performance_coaching,coach,"Performance Coaching","Improving individual performance",2
team_coaching,coach,"Team Coaching","Developing teams",3
coaching_skills,life_coach,Coaching,"Core coaching competencies",1
goal_achievement,life_coach,"Goal Achievement","Helping clients reach goals",2
self_awareness,life_coach,Self-Awareness,"Building self-understanding",3
philosophy,philosopher,Philosophy,"Philosophical thinking",1
critical_thinking,philosopher,"Critical Thinking","Logical reasoning",2
wisdom_transmission,philosopher,"Wisdom Transmission","Teaching timeless truths",3
mindset_development,mindset_coach,"Mindset Development","Building empowering beliefs",1
limiting_beliefs,mindset_coach,"Limiting Beliefs","Overcoming mental blocks",2
resilience_building,mindset_coach,"Resilience Building","Developing mental toughness",3
time_management,productivity_expert,"Time Management","Optimizing time usage",1
energy_management,productivity_expert,"Energy Management","Maximizing energy levels",2
systems_building,productivity_expert,"Systems Building","Creating productivity systems",3
