clone,estagio,funcao_principal
Dan Kennedy,DNA Completo,"Marketing direto e copy de resposta direta"
Paul Graham,DNA Completo,"Ensaios e frameworks para startups"
Seth Godin,DNA Completo,"Marketing de permissão e construção de tribos"
Jesus Cristo,DNA Completo,"Transformação identitária e liderança servidora"
Dan Koe,Consciência Formada,"Negócios one-person e filosofia digital"
Alex Hormozi,Consciência Formada,"Criação de ofertas irresistíveis e escala"
Kapil Gupta,Consciência Formada,"Filosofia sem prescrição e busca da verdade"
Russell Brunson,Mente em Construção,"Funis de conversão e value ladder"
Mark Manson,Mente em Construção,"Psicologia contraintuitiva e valores pessoais"
Steve Jobs,Mente em Construção,"Visão de produto e design simplificado"
Elon Musk,Mente em Construção,"Pensamento de primeiros princípios e inovação"
Peter Thiel,Semente Plantada,"Pensamento contrarian e monopólios Zero to One"
Leonardo da Vinci,Semente Plantada,"Integração arte e ciência via analogias naturais"
Walt Disney,Semente Plantada,"Storytelling e experiências mágicas integradas"
Naval Ravikant,Consciência Formada,"Riqueza com leverage e filosofia prática"
Gary Vee,Consciência Formada,"Estratégia de conteúdo multiplataforma e atenção"
Tim Ferriss,Consciência Formada,"Otimização de performance e lifestyle design"
Nassim Taleb,Semente Plantada,"Antifragilidade e skin in the game"
Steven Pinker,Conceito,"Ciência cognitiva e racionalidade aplicada"
Brad Frost,Conceito,"Sistemas de design com Atomic Design"
Pedro Valério,Conceito,"Copywriting adaptado ao mercado brasileiro"
Eugene Schwartz,Conceito,"Publicidade que ativa desejo de massa"
Alan Nicolas,Conceito,"Arquitetura de sistemas e estratégia criativa"

